PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"147333";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Paramastigaceae";;;;;;;;;;;"147230";"138918";;;"Gyldig";"Ingen_bistatus";"2/4/2015 12:00:00 AM";"2/4/2015 12:00:00 AM";;;;;107279;147333;"Nei";
"147337";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Tetramitaceae";;;;;;;;;;;"147230";"138922";;;"Gyldig";"Ingen_bistatus";"2/4/2015 12:00:00 AM";"2/4/2015 12:00:00 AM";;;;;107283;147337;"Nei";
"147689";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Tetramitaceae";;;;"Tetramitus";;;;;;;"147337";"139273";;"Perty";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/5/2015 12:00:00 AM";;;;;107636;147689;"Nei";
"150622";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Tetramitaceae";;;;"Tetramitus";;;"descissus";;;;"147689";"142209";;"Perty";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;110582;150622;"Nei";
"150623";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Tetramitaceae";;;;"Tetramitus";;;"pyriformis";;;;"147689";"142210";;"G.A. Klebs";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;110583;150623;"Nei";
"150624";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Tetramitaceae";;;;"Tetramitus";;;"rostratus";;;;"147689";"142211";;"Perty";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;110584;150624;"Nei";
"150625";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Tetramitaceae";;;;"Tetramitus";;;"rotundatus";;;;"147689";"142212";;"Skuja";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;110585;150625;"Nei";
"147688";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Paramastigaceae";;;;"Paramastix";;;;;;;"147333";"139272";;"Skuja, 1948";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/5/2015 12:00:00 AM";;;;;107635;147688;"Nei";
"150619";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Paramastigaceae";;;;"Paramastix";;;"conifera";;;;"147688";"142206";;"Skuja";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;110579;150619;"Ja";
"150620";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Paramastigaceae";;;;"Paramastix";;;"lata";;;;"147688";"142207";;"Skuja";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;110580;150620;"Nei";
"150621";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Paramastigaceae";;;;"Paramastix";;;"truncata";;;;"147688";"142208";;"Skuja";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;110581;150621;"Nei";
"147685";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Distomataceae";;;;"Hexamitus";;;;;;;"147310";"139269";;"Dujardin";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/5/2015 12:00:00 AM";;;;;107632;147685;"Nei";
"147686";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Distomataceae";;;;"Trepomonas";;;;;;;"147310";"139270";;"Dujardin, 1841";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/5/2015 12:00:00 AM";;;;;107633;147686;"Nei";
"147687";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Distomataceae";;;;"Trigonomonas";;;;;;;"147310";"139271";;"Klebs, 1892";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/5/2015 12:00:00 AM";;;;;107634;147687;"Nei";
