scientific_name	rank	author	parent	classification	source	dyntaxa_id	dyntaxa_scientific_name	dyntaxa_url
Pleurocapsa	Genus	Thur. in Hauck	Hyellaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hyellaceae - Pleurocapsa	Artsnavnebase 20170303	1016269	Pleurocapsa	https://www.dyntaxa.se/taxon/info/1016269
Pleurocapsa fuliginosa	Species	Hauck	Pleurocapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hyellaceae - Pleurocapsa fuliginosa	Artsnavnebase 20170303	263463	Pleurocapsa fuliginosa	https://www.dyntaxa.se/taxon/info/263463
Pleurocapsa minuta	Species	Geitler	Pleurocapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hyellaceae - Pleurocapsa minuta	Artsnavnebase 20170303	263464	Pleurocapsa minuta	https://www.dyntaxa.se/taxon/info/263464
Microcystaceae	Family	Elenkin	Chroococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae	Artsnavnebase 20170303	2003109	Microcystaceae	https://www.dyntaxa.se/taxon/info/2003109
Anacystis	Genus		Microcystaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Anacystis	Artsnavnebase 20170303			
Chondrocystis	Genus	Lemmerm.	Microcystaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Chondrocystis	Artsnavnebase 20170303	1016255	Chondrocystis	https://www.dyntaxa.se/taxon/info/1016255
Chondrocystis dermochroa	Species	(Nägeli) Komárek & Anagnostidis	Chondrocystis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Chondrocystis dermochroa	Artsnavnebase 20170303	263415	Chondrocystis dermochroa	https://www.dyntaxa.se/taxon/info/263415
Eucapsis	Genus	Clements & Shantz	Microcystaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Eucapsis	Artsnavnebase 20170303	1010258	Eucapsis	https://www.dyntaxa.se/taxon/info/1010258
Eucapsis alpina	Species	Clements & Shantz	Eucapsis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Eucapsis alpina	Artsnavnebase 20170303	236850	Eucapsis alpina	https://www.dyntaxa.se/taxon/info/236850
Eucapsis minor	Species	(Skuja) Elenkin	Eucapsis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Eucapsis minor	Artsnavnebase 20170303	257615	Eucapsis minor	https://www.dyntaxa.se/taxon/info/257615
Eucapsis minuta	Species	Fritsch, 1912	Eucapsis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Eucapsis minuta	Artsnavnebase 20170303	236851	Eucapsis minuta	https://www.dyntaxa.se/taxon/info/236851
Gloeocapsa	Genus	Kütz.	Microcystaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Gloeocapsa	Artsnavnebase 20170303	1016200	Gloeocapsa	https://www.dyntaxa.se/taxon/info/1016200
Gloeocapsa aeruginosa	Species	Kütz.	Gloeocapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Gloeocapsa aeruginosa	Artsnavnebase 20170303	263416	Gloeocapsa aeruginosa	https://www.dyntaxa.se/taxon/info/263416
Gloeocapsa alpina	Species	(Nägeli) Brand	Gloeocapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Gloeocapsa alpina	Artsnavnebase 20170303	263417	Gloeocapsa alpina	https://www.dyntaxa.se/taxon/info/263417
Gloeocapsa atrata	Species	Kützing	Gloeocapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Gloeocapsa atrata	Artsnavnebase 20170303	263418	Gloeocapsa atrata	https://www.dyntaxa.se/taxon/info/263418
Gloeocapsa biformis	Species	Erceg.	Gloeocapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Gloeocapsa biformis	Artsnavnebase 20170303	263419	Gloeocapsa biformis	https://www.dyntaxa.se/taxon/info/263419
Gloeocapsa compacta	Species	Kütz.	Gloeocapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Gloeocapsa compacta	Artsnavnebase 20170303	263420	Gloeocapsa compacta	https://www.dyntaxa.se/taxon/info/263420
Gloeocapsa conglomerata	Species	Kützing	Gloeocapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Gloeocapsa conglomerata	Artsnavnebase 20170303			
Gloeocapsa coracina	Species	Kütz.	Gloeocapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Microcystaceae - Gloeocapsa coracina	Artsnavnebase 20170303	263421	Gloeocapsa coracina	https://www.dyntaxa.se/taxon/info/263421
